,work_year,full_time_employee,salary_in_usd,US_resident,remote_ratio,US_location,Entry_Exp,Expert_Exp,Mid_Exp, Senior_Exp,Data Analyst,Data Engineer,Data Scientist,Machine Learning Engineer,USD,EUR,GBP,INR,Other_Currency,Large_Company,Midsize_Company,Small_Company
24,2021,1,90000,1,100,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
25,2021,1,50000,1,100,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
26,2021,0,10354,0,50,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
27,2021,1,90000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
28,2021,1,135000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
29,2021,1,60000,1,100,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
30,2021,1,71786,0,100,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
31,2021,1,200000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
32,2021,1,80000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
33,2021,1,93000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
34,2021,1,63831,0,50,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
35,2022,1,155000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
36,2022,1,120600,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
37,2022,1,102100,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
38,2022,1,84900,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
39,2022,1,99000,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
40,2022,1,116000,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
41,2022,1,106260,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
42,2022,1,126500,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
43,2022,1,90320,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
44,2022,1,124190,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
45,2022,1,130000,1,100,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
46,2022,1,110000,1,100,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
47,2022,1,170000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
48,2022,1,115500,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
49,2022,1,112900,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
50,2022,1,90320,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
51,2022,1,112900,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
52,2022,1,90320,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
53,2022,1,167000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
54,2022,1,136600,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
55,2022,1,109280,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
56,2022,1,135000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
57,2022,1,130000,0,100,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
58,2022,1,61300,0,100,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
59,2022,1,130000,0,100,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
60,2022,1,61300,0,100,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
61,2022,1,58000,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
62,2022,1,132000,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
63,2022,1,128875,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
64,2022,1,93700,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
65,2022,1,164000,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
66,2022,1,112900,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
67,2022,1,90320,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
68,2022,1,115934,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
69,2022,1,81666,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
70,2022,1,58000,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
71,2022,1,52351,0,100,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
72,2022,1,39263,0,100,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
73,2022,1,43966,0,100,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
74,2022,1,32974,0,100,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
75,2022,1,43966,0,100,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
76,2022,1,32974,0,100,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
77,2022,1,135000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
78,2022,1,50000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
79,2022,1,20000,0,100,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
80,2022,1,135000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
81,2022,1,100000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
82,2022,1,90320,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
83,2022,1,85000,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
84,2022,1,75000,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
85,2022,1,112900,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
86,2022,1,115934,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
87,2022,1,81666,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
88,2022,1,99050,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
89,2022,1,116150,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
90,2022,1,170000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
91,2022,1,65438,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
92,2022,1,80000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
93,2022,1,100000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
94,2022,1,69000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
95,2022,1,150075,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
96,2022,1,126500,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
97,2022,1,106260,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
98,2022,1,105000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
99,2022,1,110925,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
100,2022,1,45807,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
101,2022,1,99000,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
102,2022,1,60000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
103,2022,1,170000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
104,2022,1,67000,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
105,2022,1,52000,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
106,2022,1,129000,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
107,2022,1,150000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
108,2021,1,79197,0,100,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
109,2021,1,110000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
110,2021,1,50000,0,100,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
111,2022,1,20000,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
112,2022,1,405000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
113,2021,1,120000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
114,2021,1,120000,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
115,2021,1,140000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
116,2022,1,145000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
117,2022,1,105400,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
118,2022,1,150260,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
119,2022,1,109280,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
120,2021,1,61896,0,50,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
121,2021,1,450000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
122,2022,1,100000,1,50,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
123,2020,1,87000,1,100,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
124,2021,1,170000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
125,2021,1,19609,0,100,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
126,2021,1,88654,0,100,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
127,2021,1,170000,1,100,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
128,2022,1,75000,0,100,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
129,2020,1,20000,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
130,2020,1,6072,0,100,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
131,2022,1,175000,1,100,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
132,2022,1,135000,1,100,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
133,2022,1,205300,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
134,2022,1,184700,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
